Sample,Seq Id,Position,Reads (Cov),Freq,Annotation,Gene,Product
1_10p_v_vc17978,NZ_CP012004,"""=3613285""",NA (NA),100%,intergenic(+14/+4),ACX60_RS17040/ACX60_RS17045,transposase/endonuclease
1_10p_v_vc17978,NZ_CP012004,"""=3150084""",19 (0.100),29.1%,coding(460/1353nt),ACX60_RS14915,hypothetical protein
1_10p_v_vc17978,NZ_CP012004,"""3150238=""",18 (0.110),29.1%,coding(306/1353nt),ACX60_RS14915,hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,"""=23341""",NA (NA),NA,noncoding(5445/5804nt),repeat_region,repeat region
vc17978p_v_vc17978,NZ_CP012004,"""23345=""",NA (NA),NA,noncoding(5449/5804nt),repeat_region,repeat region
vc17978p_v_vc17978,NZ_CP012004,"""=1021531""",159 (0.800),10.8%,intergenic(54/+2),ACX60_RS04795/ACX60_RS04800,transposase/transposase
vc17978p_v_vc17978,NZ_CP012004,"""1389603=""",40 (0.200),10.8%,intergenic(320/264),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
vc17978p_v_vc17978,NZ_CP012004,"""1389363=""",11 (0.060),55.0%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
vc17978p_v_vc17978,NZ_CP012005,"""=132540""",148 (1.330),55.0%,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,transposase/hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,"""=1389371""",12 (0.060),52.3%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
vc17978p_v_vc17978,NZ_CP012005,"""131502=""",81 (0.730),52.3%,coding(135/192nt),ACX60_RS18925,hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,"""2846783=""",0 (0.000),100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
vc17978p_v_vc17978,NZ_CP012004,"""3612188=""",NA (NA),100%,intergenic(291/109),ACX60_RS17035/ACX60_RS17040,transposase/transposase
vc17978p_v_vc17978,NZ_CP012004,"""=2846790""",0 (0.000),100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
vc17978p_v_vc17978,NZ_CP012004,"""=3613285""",NA (NA),100%,intergenic(+14/+4),ACX60_RS17040/ACX60_RS17045,transposase/endonuclease
vc17978p_v_vc17978,NZ_CP012004,"""=3150084""",21 (0.110),43.8%,coding(460/1353nt),ACX60_RS14915,hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,"""3150238=""",13 (0.080),43.8%,coding(306/1353nt),ACX60_RS14915,hypothetical protein
vc17978p_v_vc17978,NZ_CP012004,"""=3167376""",NA (NA),NA,noncoding(3230/5850nt),repeat_region,repeat region
vc17978p_v_vc17978,NZ_CP012004,"""3167377=""",NA (NA),NA,noncoding(3231/5850nt),repeat_region,repeat region
1_10pC1_v_vc17978_v_vc17978,NC_009083,"""11236=""",14 (0.050),52.0%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
1_10pC1_v_vc17978_v_vc17978,NC_009084,"""5259=""",161 (0.400),52.0%,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NC_009083,"""=11251""",17 (0.060),48.9%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
1_10pC1_v_vc17978_v_vc17978,NC_009084,"""=5242""",161 (0.400),48.9%,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""1389363=""",0 (0.000),67.0%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
1_10pC1_v_vc17978_v_vc17978,NZ_CP012005,"""=132540""",66 (1.060),67.0%,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,transposase/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""=1389371""",1 (0.010),42.9%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
1_10pC1_v_vc17978_v_vc17978,NZ_CP012005,"""131502=""",63 (1.020),42.9%,coding(135/192nt),ACX60_RS18925,hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""1591230=""",62 (0.710),5.9%,intergenic(+321/178),ACX60_RS07370/ACX60_RS07375,hypothetical protein/phage integrase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""=1642099""",106 (1.400),5.9%,intergenic(550/40),ACX60_RS07710/ACX60_RS07715,hypothetical protein/MFS transporter
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""2846783=""",0 (0.000),100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""3612188=""",NA (NA),100%,intergenic(291/109),ACX60_RS17035/ACX60_RS17040,transposase/transposase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""=2846790""",0 (0.000),100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""=3613285""",NA (NA),100%,intergenic(+14/+4),ACX60_RS17040/ACX60_RS17045,transposase/endonuclease
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""=3150084""",26 (0.300),36.9%,coding(460/1353nt),ACX60_RS14915,hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,"""3150238=""",15 (0.200),36.9%,coding(306/1353nt),ACX60_RS14915,hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,"""1389363=""",0 (0.000),58.7%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
vc17978pA1_v_vc17978,NZ_CP012005,"""=132540""",100 (1.150),58.7%,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,transposase/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,"""=1389371""",3 (0.030),50.7%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,hypothetical protein/protein CsuA/B
vc17978pA1_v_vc17978,NZ_CP012005,"""131502=""",71 (0.820),50.7%,coding(135/192nt),ACX60_RS18925,hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,"""2846783=""",0 (0.000),100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
vc17978pA1_v_vc17978,NZ_CP012004,"""3612188=""",NA (NA),100%,intergenic(291/109),ACX60_RS17035/ACX60_RS17040,transposase/transposase
vc17978pA1_v_vc17978,NZ_CP012004,"""=2846790""",0 (0.000),100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
vc17978pA1_v_vc17978,NZ_CP012004,"""=3613285""",NA (NA),100%,intergenic(+14/+4),ACX60_RS17040/ACX60_RS17045,transposase/endonuclease
vc17978pA1_v_vc17978,NZ_CP012004,"""=3150084""",11 (0.120),43.0%,coding(460/1353nt),ACX60_RS14915,hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,"""3150238=""",9 (0.120),43.0%,coding(306/1353nt),ACX60_RS14915,hypothetical protein
