Sample,Seq Id,Start,End,Size,<-Reads,Reads->,Gene,Description
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,473676,473876,201,18[14],[11]23,ACX60_RS02305/ACX60_RS02310,membrane protein/tRNAArg
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,838919,839218,300,17[16],[15]17,ACX60_RS04025/ACX60_RS04030,sodium:proton antiporter/type I secretion protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,1415852,1416037,186,17[16],[15]17,ACX60_RS06605/ACX60_RS06610,hypothetical protein/hydroxyacylglutathione hydrolase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,1505559,1505700,142,17[15],[16]17,ACX60_RS07000,RNAbinding protein Hfq
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,1529186,1529567,382,18[16],[15]17,ACX60_RS07100/ACX60_RS07105,aminopeptidase N/spore Coat protein U domain family
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,1574766,1574846,81,17[16],[16]18,ACX60_RS07310,DNA polymerase III subunit gamma/tau
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,1951741,1951958,218,17[14],[15]20,ACX60_RS09200/ACX60_RS09205,transporter/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2213068,2213267,200,17[16],[12]19,ACX60_RS10565/ACX60_RS10570,hypothetical protein/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2227925,2228168,244,17[12],[15]17,ACX60_RS10635/ACX60_RS10640,hypothetical protein/TetR family transcriptional regulator
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2228759,2228880,122,26[14],[16]17,ACX60_RS10640/ACX60_RS10645,TetR family transcriptional regulator/acyltransferase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2320803,2320953,151,28[15],[16]27,ACX60_RS11085/ACX60_RS11090,SDR family oxidoreductase/rhodanese
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2382035,2382493,459,19[15],[16]17,ACX60_RS11350/ACX60_RS11355,hypothetical protein/alanine racemase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2425516,2425885,370,17[16],[16]17,ACX60_RS11555/ACX60_RS11560,hypothetical protein/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2453838,2454070,233,17[16],[16]17,ACX60_RS11680/ACX60_RS11685,hypothetical protein/sulfatase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2652516,2652638,123,17[16],[16]17,ACX60_RS12705/ACX60_RS12710,TetR family transcriptional regulator/metaldependent hydrolase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,2781197,2781626,430,17[14],[16]17,ACX60_RS13220/ACX60_RS13225,hypothetical protein/Lon protease
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,3017490,3017586,97,19[15],[15]18,ACX60_RS14340/ACX60_RS14345,hypothetical protein/trehalosephosphatase
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,3090241,3090464,224,18[16],[16]17,ACX60_RS14650/ACX60_RS14655,ribonucleotidediphosphate reductase subunit beta/hypothetical protein
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,3399639,3399812,174,17[16],[12]18,ACX60_RS16060/ACX60_RS16065,Zndependent hydrolase/RpiR family transcriptional regulator
1_10pC1_v_vc17978_v_vc17978,NZ_CP012004,3711083,3711315,233,17[16],[15]22,ACX60_RS17510/ACX60_RS17515,acylCoA synthetase/LuxR family transcriptional regulator
1_10pC1_v_vc17978_v_vc17978,NZ_CP012005,35194,35389,196,14[7],[10]13,ACX60_RS18365/ACX60_RS18370,hypothetical protein/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,95710,95890,181,16[13],[13]14,ACX60_RS00425/ACX60_RS00430,hypothetical protein/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,131833,131890,58,15[13],[13]14,ACX60_RS00605,"peptidase, M23 family protein"
vc17978pA1_v_vc17978,NZ_CP012004,380243,380490,248,17[11],[13]14,ACX60_RS01810/ACX60_RS01815,Smethylmethionine transporter/glutamate dehydrogenase
vc17978pA1_v_vc17978,NZ_CP012004,473681,473867,187,14[13],[12]15,ACX60_RS02305/ACX60_RS02310,membrane protein/tRNAArg
vc17978pA1_v_vc17978,NZ_CP012004,838930,839209,280,14[10],[13]14,ACX60_RS04025/ACX60_RS04030,sodium:proton antiporter/type I secretion protein
vc17978pA1_v_vc17978,NZ_CP012004,1382016,1382183,168,15[11],[12]14,ACX60_RS06435/ACX60_RS06440,hypothetical protein/threonine transporter
vc17978pA1_v_vc17978,NZ_CP012004,1446712,1446901,190,17[13],[13]14,ACX60_RS06750/ACX60_RS06755,"phosphoenolpyruvate synthase regulatory protein/polybeta1,6 NacetylDglucosamine export porin PgaA"
vc17978pA1_v_vc17978,NZ_CP012004,1505587,1505695,109,14[13],[13]15,ACX60_RS07000,RNAbinding protein Hfq
vc17978pA1_v_vc17978,NZ_CP012004,1529179,1529492,314,15[12],[13]14,ACX60_RS07100/ACX60_RS07105,aminopeptidase N/spore Coat protein U domain family
vc17978pA1_v_vc17978,NZ_CP012004,1574769,1574836,68,14[13],[13]15,ACX60_RS07310,DNA polymerase III subunit gamma/tau
vc17978pA1_v_vc17978,NZ_CP012004,1739686,1739957,272,14[13],[11]17,ACX60_RS08205/ACX60_RS08210,hypothetical protein/membrane protein
vc17978pA1_v_vc17978,NZ_CP012004,1904123,1904412,290,15[13],[11]16,ACX60_RS08980/ACX60_RS08985,indole acetimide hydrolase/RND transporter
vc17978pA1_v_vc17978,NZ_CP012004,1951759,1951959,201,14[10],[13]14,ACX60_RS09200/ACX60_RS09205,transporter/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,2189020,2189145,126,14[13],[12]15,ACX60_RS10445/ACX60_RS10450,NADdependent deacetylase/sodium:proline symporter
vc17978pA1_v_vc17978,NZ_CP012004,2213060,2213290,231,15[12],[13]14,ACX60_RS10565/ACX60_RS10570,hypothetical protein/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,2218655,2218831,177,14[13],[13]14,ACX60_RS10585/ACX60_RS10590,fimbrial protein/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,2228759,2228896,138,17[4],[13]14,ACX60_RS10640/ACX60_RS10645,TetR family transcriptional regulator/acyltransferase
vc17978pA1_v_vc17978,NZ_CP012004,2261406,2261727,322,14[13],[12]14,ACX60_RS10805/ACX60_RS10810,hypothetical protein/Lasparaginase
vc17978pA1_v_vc17978,NZ_CP012004,2320819,2320939,121,16[13],[13]14,ACX60_RS11085/ACX60_RS11090,SDR family oxidoreductase/rhodanese
vc17978pA1_v_vc17978,NZ_CP012004,2342838,2342967,130,15[12],[13]14,ACX60_RS11185/ACX60_RS11190,stressinduced protein/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,2350992,2351067,76,15[13],[13]15,ACX60_RS11230/ACX60_RS11235,hypothetical protein/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,2372228,2372360,133,14[13],[13]14,ACX60_RS11310/ACX60_RS11315,thioesterase/homoserine lactone efflux protein RhtB
vc17978pA1_v_vc17978,NZ_CP012004,2382043,2382464,422,17[13],[11]14,ACX60_RS11350/ACX60_RS11355,hypothetical protein/alanine racemase
vc17978pA1_v_vc17978,NZ_CP012004,2536340,2536441,102,21[12],[13]14,ACX60_RS12050/ACX60_RS12055,coldshock protein/amino acid transporter LysE
vc17978pA1_v_vc17978,NZ_CP012004,2781183,2781573,391,14[13],[13]14,ACX60_RS13220/ACX60_RS13225,hypothetical protein/Lon protease
vc17978pA1_v_vc17978,NZ_CP012004,3090259,3090447,189,15[13],[13]16,ACX60_RS14650/ACX60_RS14655,ribonucleotidediphosphate reductase subunit beta/hypothetical protein
vc17978pA1_v_vc17978,NZ_CP012004,3711097,3711309,213,14[13],[13]15,ACX60_RS17510/ACX60_RS17515,acylCoA synthetase/LuxR family transcriptional regulator
vc17978pA1_v_vc17978,NZ_CP012005,35194,35381,188,26[9],[17]19,ACX60_RS18365/ACX60_RS18370,hypothetical protein/hypothetical protein
